customer_type;ratio_P_ref_P_avg;f_c;c_ref_1h;c_ref_4h
residential;2.6;0.96;25.86113744075829;90.45895734597154
agriculture;2.5;0.88;23.55014218009478;81.65516587677726
public;2.3;0.38;214.04218009478672;317.92691943127954
industry;3.0;0.38;145.92284360189572;451.52445497630333
commercial;2.5;0.49;242.4344075829384;580.1698578199052
