<<<<<<< HEAD
﻿year_rel;bus_i;load_added_MW;label;power_factor
1;89;0.88;LEC;0.95
2;104;0.88;LEC;0.95
3;48;2;FCS_highway;1
4;65;0.88;LEC;0.95
7;30;0.88;LEC;0.95
9;38;0.88;LEC;0.95
=======
﻿year_rel;bus_i;load_added_MW;label;power_factor
1;89;0.88;LEC;0.95
2;104;0.88;LEC;0.95
3;48;2;FCS_highway;1
4;65;0.88;LEC;0.95
7;30;0.88;LEC;0.95
9;38;0.88;LEC;0.95
>>>>>>> 0f00a8667af64ec3e7533cd20940b299cbb28cec
