bus_i;bus_type;Pd;Qd;Gs;Bs;bus_area;Vm;Va;base_kV;zone;Vmax;Vmin
43;1;0.0;0.0;0;0;0;0.9693425433056811;-0.6231882826812275;22;0;1.05;0.95
44;1;0.029108184470800772;0.009566987503870677;0;0;0;0.9674045913672916;-0.6575254361106899;22;0;1.05;0.95
45;1;0.0;0.0;0;0;0;0.9670705617470045;-0.6634738679363559;22;0;1.05;0.95
46;1;0.2212169394193211;0.07270737114290687;0;0;0;0.9647142057654676;-0.7056871607993075;22;0;1.05;0.95
47;1;0.10142858182136329;0.03333653169993431;0;0;0;0.960935472427605;-0.774825249707732;22;0;1.05;0.95
48;1;0.0;0.0;0;0;0;0.960658693633268;-0.7796691409872795;22;0;1.05;0.95
49;1;0.22457994741523202;0.07381269126280014;0;0;0;0.9606869205672554;-0.7800399522463418;22;0;1.05;0.95
50;1;0.0;0.0;0;0;0;0.9606375413110284;-0.7799232189322026;22;0;1.05;0.95
51;1;0.05303979819116836;0.017432590272585098;0;0;0;0.9606375374833136;-0.7799233342832654;22;0;1.05;0.95
52;1;0.0;0.0;0;0;0;0.9606868943013002;-0.7800410987457649;22;0;1.05;0.95
53;1;0.0;0.0;0;0;0;0.9603672808037008;-0.7829309320955736;22;0;1.05;0.95
54;1;0.0;0.0;0;0;0;0.960319846085668;-0.7856779594276027;22;0;1.05;0.95
55;1;0.19806062780869163;0.06509658658778927;0;0;0;0.9602789953399734;-0.7879209640581433;22;0;1.05;0.95
56;1;0.0;0.0;0;0;0;0.9602789896652262;-0.7879213059618101;22;0;1.05;0.95
57;1;0.0;0.0;0;0;0;0.9602703330902328;-0.7886067304361818;22;0;1.05;0.95
58;1;0.0;0.0;0;0;0;0.960257601337535;-0.7894302350812162;22;0;1.05;0.95
59;1;0.0;0.0;0;0;0;0.9602498428320132;-0.7894858863265648;22;0;1.05;0.95
60;1;0.0;0.0;0;0;0;0.9602512381894426;-0.7898670930955306;22;0;1.05;0.95
61;1;0.0;0.0;0;0;0;0.9602513766745956;-0.7898760519898831;22;0;1.05;0.95
62;1;0.0;0.0;0;0;0;0.9602513766745956;-0.7898760519898831;22;0;1.05;0.95
63;1;0.0;0.0;0;0;0;0.9602173433147853;-0.7791326149330018;22;0;1.05;0.95
64;1;0.12408718274726321;0.04078373408617015;0;0;0;0.9602167556931532;-0.7791412392891114;22;0;1.05;0.95
