scale,P90_MW,P91_MW,P92_MW,P96_MW,P_area_sum_MW,Vmin_area_pu
1.0638172561041754,0.046575920512499536,0.16333803023119065,0.0784814563865315,0.19551750862302475,0.48391291575324646,0.9523577392314507
1.0941773478876495,0.047905142438112676,0.1679995052741046,0.08072122473539393,0.20109734808606308,0.49772322053367424,0.9521528069454094
1.1281136326755459,0.04939093682027846,0.17321006740666403,0.08322482113714415,0.20733445113696639,0.513160276501053,0.9519236259652243
1.2272387217847769,0.053730819675773214,0.1884296896760809,0.09053761975278848,0.22555251476910426,0.5582506438737469,0.9512535436437156
1.3707980242325812,0.060016115971985994,0.2104717213771458,0.10112848305124482,0.2519370812848268,0.6235534016852033,0.9502813295848115
1.4388784397520524,0.06299680462269003,0.2209247582163813,0.10615100936458477,0.2644494871064182,0.6545220593100742,0.9498195439266175
1.4434141988273312,0.06319538868676856,0.22162117665545836,0.1064856279055078,0.2652831080211234,0.6565853012688582,0.9497887625054316
1.4503859378955672,0.06350062453701712,0.2226916143835149,0.10699995706541048,0.26656443434438987,0.6597566303303324,0.9497414450846003
1.554584787015835,0.06806264614953764,0.23869025951735062,0.1146870644006559,0.2857149973423886,0.7071549674099328,0.9490336308502327
1.631664399122065,0.07143733655429875,0.250525029013873,0.1203734923854389,0.29988135311276676,0.7422172110663774,0.9485093226266618
1.6438651200806644,0.07197150706742236,0.25239832230493703,0.12127358151663345,0.302123706817355,0.7477671177063479,0.9484262753838646
1.6973680290593638,0.07431396506148161,0.2606131352477378,0.12522067505499318,0.3119569327850445,0.7721047081492571,0.9480619139175969
1.761139701990353,0.0771060088569171,0.2704046096587108,0.12992533061412379,0.3236774407394373,0.8011133898691891,0.9476272356518728
1.7739560485559633,0.0776671326171074,0.27237242583275306,0.13087083656286835,0.32603293942662165,0.8069433344393504,0.9475398267030642
1.7860643052769538,0.07819725487198327,0.2742315222057362,0.13176410428936242,0.328258299256303,0.812451180623385,0.9474572313702115
1.82276161327083,0.0798039320435915,0.27986601061820854,0.13447139086541554,0.3350028469603044,0.8291441804875199,0.9472068115861321
1.8276311719925822,0.08001713048406976,0.28061368050713187,0.1348306349538621,0.33589781645239286,0.8313592623974566,0.9471735727421007
1.8585979199113825,0.08137291295640768,0.2853683012643151,0.13711515841151134,0.34158915241117727,0.8454455250434114,0.9469621323672748
1.9267649888486018,0.08435739545673582,0.29583464283092425,0.142144077445393,0.3541174841450949,0.876453599878148,0.9464963413056097
1.975622351636756,0.0864964627003006,0.3033361806696057,0.1457484530698884,0.3630969115753412,0.8986780080151359,0.9461621974601009
