Year,Investment cost (NOK),Operational costs (NOK),Interruption costs (NOK)
1,0.0,0.0,237221.21563146645
2,15188160.0,0.0,244337.8521004104
3,0.0,0.0,251667.9876634228
4,0.0,0.0,259218.02729332543
5,0.0,0.0,266994.5681121253
6,0.0,0.0,275004.405155489
7,0.0,0.0,283254.53731015365
8,0.0,0.0,291752.1734294582
9,0.0,0.0,300504.7386323421
10,0.0,0.0,309519.8807913123
