Year,Investment cost (NOK),Operational costs (NOK),Interruption costs (NOK)
1,0.0,0.0,151318.1862519747
2,0.0,1045.4052772836776,158434.82272091872
3,0.0,7395.74856293256,165764.95828393105
4,0.0,21593.522559185483,173314.99791383368
5,0.0,47181.390582101805,181091.5387326335
6,0.0,89221.71874141891,189101.3757759972
7,0.0,145181.76827055632,197351.50793066193
8,0.0,217099.29819394526,205849.14404996653
9,0.0,301749.72731219965,214601.70925285033
10,15188160.0,0.0,223616.85141182056
